Hid;ln
4880700;3765
4880900;4750
4881200;7447
4881600;3127
4881700;5253
4882200;6806
4882400;5813
4882500;1406
4882800;2040
4882900;683
4883000;1917
4883100;5587
4883200;4965
4883300;3253
4883700;80
4883900;2549
4884200;3611
4884500;4901
4884700;2004
4884800;8486
4885200;7006
4885600;1707
4885700;3254
4885800;7492
4885900;1740
4886100;6439
4886300;5796
4886500;949
4886700;6025
4887000;2885
4887100;271
4887500;6022
4887700;4066
4888100;4084
4888700;6268
4889000;1503
4889200;3985
4889600;910
4889700;2692
4889800;331
4889900;2961
4890200;4291
4890600;3974
4890700;999
4890900;305
4891100;2495
4891400;7165
4891500;108
4891600;8961
4891800;8478
4892100;8016
4892200;6446
4892400;7358
4892500;6712
4892900;656
4893100;8623
4893600;8183
4893700;6520
4893800;6463
4894000;8674
4894100;1973
4894200;9153
4894300;6929
4894700;2553
4894800;5924
4895100;5471
4895700;4133
4896000;7159
4896400;2528
4896700;292
4897300;3937
4897500;7791
4897900;298
4898200;8654
4898500;6193
4898600;2146
4898700;8991
4898900;8972
4899700;3996
4900600;5239
4901000;600
4901300;7713
4901500;998
4902200;9013
4902400;6811
4904200;386
4904300;2216
4904500;3452
4904600;5473
4904700;534
4905500;1800
4905700;4339
4905800;4601
4906100;5966
4906500;5055
4906501;6440
4906900;5901
4907000;3282
4907100;6114
4907300;9158
4907600;3047
4908800;613
4909100;2770
4909300;5242
4909600;363
4909800;7980
4909900;5296
4910000;6976
4910400;2607
4910800;5872
4910802;5606
4911600;3610
4911800;4738
4911900;1395
4912100;3108
4912300;2367
4912500;3194
4912900;4522
4913200;1026
4913500;3065
4913900;2205
4914300;2417
4914500;488
4914900;2368
4916300;3450
4916900;787
4917400;6700
4917700;2512
4917800;4983
4918200;8684
4919200;8207
4919800;4771
4920300;5508
4920400;5176
4920600;1471
4921300;5263
4921400;2959
4921500;9269
4922100;174
4922500;824
4923000;7913
4923900;4387
4924300;4160
4925000;3012
4925100;5299
4925400;7741
4925500;1768
4925700;7935
4925800;944
4925900;2228
4926200;7611
4926300;1751
4926400;8887
4926500;5275
4926600;3917
4926700;6314
4926900;3463
4927700;695
4928000;1068
4928400;537
4928700;2680
4928800;5274
4929000;8369
4929100;642
4929200;8260
4929300;3529
4929400;7106
4929600;5681
4929800;3106
4930300;6645
4930500;7825
4930700;7298
4930800;4888
4930900;7890
4931100;7110
4931300;1279
4931600;2275
4946100;8416
4946300;6087
4946400;6124
4946700;8196
4947200;5444
4947500;1431
4949500;2174
4949501;799
4949600;9069
4950500;8346
4950800;8189
4951600;988
4953300;3472
4953500;8592
4953600;8855
4953700;4116
4953800;1483
4954200;1574
4954300;7232
4954600;2939
4954800;6065
4956200;7526
4956300;8410
4956400;3008
4956500;6735
4956601;9139
4956800;8506
4957100;6072
