jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;5834000; ;26;-3;-3;-3; ;9;1;1;-1;-1; 
2019;5834100; ;11;22;-3;-3; ;5;2;3;-1;-1; 
2019;5834200; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;5834300; ;11;22;-3;-3; ;7;3;4;-1;-1; 
2019;5834400;1511,87022;11;11;6;4;6;9;1;1;1;101;1
2019;5834500; ;27;-3;-3;-3; ;5;3;4;-1;-1; 
2019;5834600; ;11;22;-3;-3; ;7;3;4;-1;-1; 
2019;5834700;405,43021;11;11;1;0;1;9;1;1;1;101;1
2019;5834800;397,95305;11;11;2;0;2;4;3;4;3;430;1
2019;5834900; ;11;28;-3;-3; ;3;3;4;-1;-1; 
2019;5835000; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5835100; ;11;23;-3;-3; ;3;3;4;-1;-1; 
2019;5835200;2345,97781;11;11;5;0;5;5;3;4;3;430;1
2019;5835300;474,4656;11;11;1;0;1;4;3;4;3;410;1
2019;5835400; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;5835500; ;11;28;-3;-3; ;9;1;1;-1;-1; 
2019;5835600;317,58577;11;11;1;0;1;8;2;4;3;103;1
2019;5835700; ;-3;-3;-3;-3; ;2;3;4;-1;-1; 
2019;5835800; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5835900; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5836000; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5836100;240,63928;11;11;2;0;2;3;2;3;3;210;1
2019;5836200; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5836300; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5836400; ;11;22;-3;-3; ;2;3;4;-1;-1; 
2019;5836500; ;11;22;-3;-3; ;7;3;4;-1;-1; 
2019;5836600; ;11;22;-3;-3; ;3;2;4;-1;-1; 
2019;5836700; ;11;21;-3;-3; ;4;2;3;-1;-1; 
2019;5836800; ;11;22;-3;-3; ;5;2;3;-1;-1; 
2019;5836900; ;11;22;-3;-3; ;6;2;3;-1;-1; 
2019;5837000; ;11;28;-3;-3; ;6;2;4;-1;-1; 
2019;5837100;457,79692;11;11;2;0;2;5;3;4;2;220;1
2019;5837200; ;-3;-3;-3;-3; ;6;1;2;-1;-1; 
2019;5837300; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5837400; ;-3;-3;-3;-3; ;5;1;2;-1;-1; 
2019;5837500; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5837600;338,39245;11;11;1;0;1;5;3;4;3;430;1
