"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","FONPURCH","INTAWAY","INTAWAY_","INTAWYX","INTAWYX_","FONCARDX","FONC_RDX","PRPYCELL","PRPY_ELL","PRPYCLX","PRPYCLX_"
"20191","03896554","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03896584","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03896594","8","0","1","","2","D","","A","","A","","A","","A"
"20191","03896604","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03896624","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03896654","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03896684","19","0","1","","2","D","","A","","A","","A","","A"
"20191","03896714","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03896724","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03896734","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03896764","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03896774","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03896784","25","0","1","","2","D","","A","","A","","A","","A"
"20191","03896794","11","0","1","","2","D","","A","","A","","A","","A"
"20191","03896804","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03896834","66","0","1","","2","D","","A","","A","","A","","A"
"20191","03896844","39","0","1","","2","D","","A","","A","","A","","A"
"20191","03896864","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03896904","20","0","1","","2","D","","A","","A","","A","","A"
"20191","03896914","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03896964","90","0","1","","1","D","5","D","","A","","A","","A"
"20191","03897044","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03897054","56","0","1","","2","D","","A","","A","","A","","A"
"20191","03897064","33","0","1","","2","D","","A","","A","","A","","A"
"20191","03897094","38","0","1","","2","D","","A","","A","","A","","A"
"20191","03897114","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03897124","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03897154","6","0","1","","2","D","","A","","A","","A","","A"
"20191","03897164","25","0","1","","2","D","","A","","A","","A","","A"
"20191","03897194","60","0","1","","2","D","","A","","A","","A","","A"
"20191","03897204","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03897214","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03897274","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03897284","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03897364","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03897374","44","0","1","","2","D","","A","","A","","A","","A"
"20191","03897414","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03897474","28","0","1","","2","D","","A","","A","","A","","A"
"20191","03897494","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03897504","21","0","1","","2","D","","A","","A","","A","","A"
"20191","03897524","19","0","1","","2","D","","A","","A","","A","","A"
"20191","03897564","85","0","1","","2","D","","A","","A","","A","","A"
"20191","03897584","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03897594","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03897604","10","0","1","","2","D","","A","","A","","A","","A"
"20191","03897724","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03897764","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03897774","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03897824","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03897834","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03897864","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03897874","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03897904","39","0","1","","2","D","","A","","A","","A","","A"
"20191","03897924","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03897954","55","0","1","","2","D","","A","","A","","A","","A"
"20191","03897984","56","0","1","","2","D","","A","","A","","A","","A"
"20191","03898004","41","0","1","","2","D","","A","","A","","A","","A"
"20191","03898014","21","0","1","","2","D","","A","","A","","A","","A"
"20191","03898024","57","0","1","","2","D","","A","","A","","A","","A"
"20191","03898034","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03898064","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03898104","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03898114","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03898214","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03898244","73","0","1","","2","D","","A","","A","","A","","A"
"20191","03898254","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03898274","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03898314","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03898324","44","0","1","","2","D","","A","","A","","A","","A"
"20191","03898374","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03898384","36","0","1","","2","D","","A","","A","","A","","A"
"20191","03898404","48","0","1","","2","D","","A","","A","","A","","A"
"20191","03898414","11","0","1","","2","D","","A","","A","","A","","A"
"20191","03898424","49","0","1","","2","D","","A","","A","","A","","A"
"20191","03898444","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03898464","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03898474","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03898494","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03898524","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03898554","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03898574","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03898584","14","0","1","","2","D","","A","","A","","A","","A"
"20191","03898594","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03898614","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03898644","36","0","1","","2","D","","A","","A","","A","","A"
"20191","03898664","77","0","1","","2","D","","A","","A","","A","","A"
"20191","03898684","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03898694","61","0","1","","2","D","","A","","A","","A","","A"
"20191","03898714","26","0","1","","2","D","","A","","A","","A","","A"
"20191","03898764","43","0","1","","2","D","","A","","A","","A","","A"
"20191","03898784","55","0","1","","2","D","","A","","A","","A","","A"
"20191","03898814","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03898824","27","0","1","","2","D","","A","","A","","A","","A"
"20191","03898834","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03898844","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03898874","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03898884","18","0","1","","2","D","","A","","A","","A","","A"
"20191","03898894","57","0","1","","2","D","","A","","A","","A","","A"
"20191","03898914","28","0","1","","2","D","","A","","A","","A","","A"
"20191","03898934","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03898944","36","0","1","","2","D","","A","","A","","A","","A"
"20191","03898954","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03898984","48","0","1","","2","D","","A","","A","","A","","A"
"20191","03899004","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03899074","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03899094","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03899104","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03899134","7","0","1","","2","D","","A","","A","","A","","A"
"20191","03899174","23","0","1","","2","D","","A","","A","","A","","A"
"20191","03899194","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03899234","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03899274","43","0","1","","2","D","","A","","A","","A","","A"
"20191","03899284","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03899294","33","0","1","","2","D","","A","","A","","A","","A"
"20191","03899304","36","0","1","","2","D","","A","","A","","A","","A"
"20191","03899314","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03899324","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03899344","51","0","1","","2","D","","A","","A","","A","","A"
"20191","03899364","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03899384","65","0","1","","2","D","","A","","A","","A","","A"
"20191","03899414","27","0","1","","2","D","","A","","A","","A","","A"
"20191","03899444","10","0","1","","2","D","","A","","A","","A","","A"
"20191","03899504","19","0","1","","2","D","","A","","A","","A","","A"
"20191","03899514","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03899524","33","0","1","","2","D","","A","","A","","A","","A"
"20191","03899534","10","0","1","","2","D","","A","","A","","A","","A"
"20191","03899544","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03899564","41","0","1","","2","D","","A","","A","","A","","A"
"20191","03899574","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03899584","11","0","1","","2","D","","A","","A","","A","","A"
"20191","03899604","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03899634","5","0","1","","2","D","","A","","A","","A","","A"
"20191","03899644","21","0","1","","2","D","","A","","A","","A","","A"
"20191","03899694","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03899704","27","0","1","","2","D","","A","","A","","A","","A"
