"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20191","03896304","13","0","1","150","D","13","D","225","D"
"20191","03896304","14","0","1","160","D","13","D","10","D"
"20191","03896304","15","0","1","160","D","12","D","20","D"
"20191","03896304","16","0","1","160","D","13","D","10","D"
"20191","03896364","9","0","1","160","D","13","D","10","D"
"20191","03896414","1","0","1","150","D","13","D","130","D"
"20191","03896444","2","0","1","170","D","12","D","1300","D"
"20191","03896544","5","0","1","170","D","12","D","25","D"
"20191","03896544","6","0","1","150","D","13","D","20","D"
"20191","03896624","2","0","1","150","D","13","D","50","D"
"20191","03896724","2","0","1","100","D","13","D","200","D"
"20191","03896764","5","0","1","160","D","12","D","80","D"
"20191","03896834","10","0","1","100","D","13","D","100","D"
"20191","03896834","11","0","1","170","D","12","D","350","D"
"20191","03896834","12","0","1","170","D","11","D","100","D"
"20191","03896834","13","0","1","170","D","12","D","30","D"
"20191","03896964","34","0","1","100","D","10","D","120","D"
"20191","03896964","35","0","1","170","D","10","D","400","D"
"20191","03896964","36","0","1","150","D","10","D","100","D"
"20191","03897054","7","0","1","130","D","12","D","200","D"
"20191","03897054","8","0","1","150","D","12","D","100","D"
"20191","03897054","9","0","1","160","D","13","D","100","D"
"20191","03897054","10","0","1","160","D","12","D","400","D"
"20191","03897064","4","0","1","150","D","13","D","100","D"
"20191","03897094","4","0","1","170","D","10","D","20","D"
"20191","03897094","5","0","1","170","D","12","D","300","D"
"20191","03897094","6","0","1","150","D","13","D","50","D"
"20191","03897194","7","0","1","150","D","13","D","300","D"
"20191","03897204","7","0","1","160","D","13","D","500","D"
"20191","03897214","2","0","1","160","D","13","D","50","D"
"20191","03897374","4","0","1","100","D","12","D","75","D"
"20191","03897374","5","0","1","170","D","12","D","300","D"
"20191","03897414","3","0","1","170","D","10","D","1600","D"
"20191","03897474","4","0","1","150","D","13","D","350","D"
"20191","03897524","5","0","1","150","D","13","D","60","D"
"20191","03897564","12","0","1","170","D","12","D","50","D"
"20191","03897564","13","0","1","160","D","12","D","980","D"
"20191","03897564","14","0","1","160","D","12","D","450","D"
"20191","03897564","15","0","1","160","D","12","D","100","D"
"20191","03897564","16","0","1","160","D","12","D","300","D"
"20191","03897584","5","0","1","170","D","12","D","80","D"
"20191","03897774","1","0","1","150","D","12","D","200","D"
"20191","03897834","1","0","1","150","D","13","D","100","D"
"20191","03897874","4","0","1","170","D","12","D","600","D"
"20191","03897874","5","0","1","150","D","13","D","83","D"
"20191","03897904","6","0","1","170","D","12","D","450","D"
"20191","03897904","7","0","1","150","D","13","D","20","D"
"20191","03897924","1","0","1","170","D","13","D","3500","D"
"20191","03897954","8","0","1","100","D","12","D","175","D"
"20191","03897984","4","0","1","170","D","12","D","120","D"
"20191","03897984","5","0","1","160","D","12","D","150","D"
"20191","03898014","1","0","1","160","D","12","D","200","D"
"20191","03898024","11","0","1","100","D","13","D","500","D"
"20191","03898034","2","0","1","170","D","10","D","30","D"
"20191","03898114","3","0","1","170","D","10","D","50","D"
"20191","03898114","4","0","2","160","D","10","D","20","D"
"20191","03898244","9","0","1","170","D","12","D","700","D"
"20191","03898244","10","0","1","150","D","13","D","20","D"
"20191","03898244","11","0","2","170","D","10","D","40","D"
"20191","03898374","3","0","1","170","D","12","D","150","D"
"20191","03898404","3","0","1","160","D","12","D","50","D"
"20191","03898404","4","0","1","150","D","12","D","250","D"
"20191","03898404","5","0","1","150","D","13","D","12","D"
"20191","03898404","6","0","1","160","D","12","D","50","D"
"20191","03898404","7","0","1","160","D","12","D","50","D"
"20191","03898404","8","0","1","160","D","12","D","15","D"
"20191","03898424","7","0","1","170","D","13","D","5","D"
"20191","03898474","5","0","1","170","D","12","D","50","D"
"20191","03898574","5","0","1","170","D","12","D","400","D"
"20191","03898664","9","0","1","170","D","12","D","50","D"
"20191","03898664","10","0","1","130","D","11","D","20","D"
"20191","03898664","11","0","1","150","D","13","D","2763","D"
"20191","03898664","12","0","1","160","D","13","D","30","D"
"20191","03898684","3","0","1","160","D","13","D","200","D"
"20191","03898694","5","0","1","170","D","10","D","100","D"
"20191","03898694","6","0","1","170","D","11","D","100","D"
"20191","03898694","7","0","1","170","D","12","D","100","D"
"20191","03898694","8","0","1","150","D","13","D","750","D"
"20191","03898694","9","0","1","160","D","13","D","50","D"
"20191","03898694","10","0","2","170","D","10","D","100","D"
"20191","03898764","2","0","1","170","D","12","D","500","D"
"20191","03898784","11","0","1","170","D","12","D","50","D"
"20191","03898784","12","0","1","150","D","10","D","1800","D"
"20191","03898784","13","0","1","150","D","11","D","1950","D"
"20191","03898784","14","0","1","150","D","12","D","2200","D"
"20191","03898814","1","0","1","170","D","13","D","50","D"
"20191","03898874","1","0","1","110","D","13","D","267","D"
"20191","03898894","16","0","1","160","D","11","D","2000","D"
"20191","03898894","17","0","1","160","D","12","D","500","D"
"20191","03898944","5","0","1","170","D","12","D","100","D"
"20191","03898954","2","0","1","150","D","13","D","150","D"
"20191","03898984","8","0","1","170","D","12","D","250","D"
"20191","03899004","1","0","1","160","D","13","D","5","D"
"20191","03899094","4","0","2","130","D","10","D","5","D"
"20191","03899134","1","0","1","170","D","12","D","45","D"
"20191","03899194","2","0","1","170","D","12","D","300","D"
"20191","03899194","3","0","1","160","D","12","D","100","D"
"20191","03899234","2","0","1","170","D","12","D","80","D"
"20191","03899234","3","0","1","110","D","13","D","404","D"
"20191","03899274","10","0","1","170","D","12","D","100","D"
"20191","03899304","2","0","1","160","D","10","D","15","D"
"20191","03899344","13","0","1","150","D","13","D","436","D"
"20191","03899364","5","0","1","100","D","13","D","75","D"
"20191","03899384","11","0","1","170","D","12","D","100","D"
"20191","03899384","12","0","1","170","D","12","D","100","D"
"20191","03899384","13","0","2","170","D","10","D","1000","D"
"20191","03899384","14","0","2","170","D","10","D","200","D"
"20191","03899384","15","0","2","170","D","10","D","450","D"
"20191","03899514","3","0","1","160","D","13","D","1666","D"
"20191","03899514","4","0","2","140","D","10","D","25","D"
"20191","03899524","8","0","1","170","D","12","D","100","D"
"20191","03899544","6","0","1","160","D","13","D","20","D"
"20191","03899574","7","0","1","170","D","12","D","1500","D"
"20191","03899574","8","0","1","150","D","13","D","1230","D"
"20191","03899574","9","0","1","150","D","13","D","700","D"
"20191","03899604","10","0","1","130","D","13","D","25","D"
"20191","03899644","2","0","1","110","D","13","D","120","D"
"20191","03899714","3","0","1","160","D","11","D","50","D"
"20191","03899714","4","0","1","160","D","11","D","75","D"
"20191","03899714","5","0","1","160","D","11","D","50","D"
"20191","03899714","6","0","1","160","D","11","D","50","D"
"20191","03899714","7","0","1","160","D","11","D","50","D"
"20191","03899714","8","0","1","160","D","11","D","50","D"
"20191","03899774","2","0","1","150","D","13","D","120","D"
"20191","03899794","3","0","1","150","D","13","D","15","D"
"20191","03899804","6","0","1","160","D","13","D","30","D"
"20191","03899804","7","0","1","150","D","13","D","30","D"
"20191","03899904","5","0","1","170","D","13","D","20","D"
"20191","03899904","6","0","1","170","D","10","D","2000","D"
"20191","03899904","7","0","1","160","D","12","D","128","D"
"20191","03899904","8","0","1","160","D","11","D","100","D"
"20191","03899934","3","0","1","160","D","12","D","200","D"
"20191","03900044","8","0","1","160","D","10","D","10","D"
"20191","03900044","9","0","1","160","D","11","D","3","D"
"20191","03900044","10","0","1","160","D","12","D","50","D"
"20191","03900044","11","0","1","160","D","12","D","10","D"
"20191","03900074","2","0","1","140","D","13","D","25","D"
"20191","03900084","5","0","1","170","D","12","D","300","D"
"20191","03900124","2","0","1","160","D","10","D","100","D"
"20191","03900224","4","0","1","150","D","13","D","130","D"
"20191","03900334","13","0","1","170","D","12","D","25","D"
"20191","03900394","4","0","1","110","D","13","D","713","F"
"20191","03900414","3","0","1","170","D","12","D","400","D"
"20191","03900444","8","0","1","160","D","13","D","20","D"
"20191","03900484","8","0","1","150","D","10","D","650","D"
"20191","03900484","9","0","1","150","D","11","D","650","D"
"20191","03900484","10","0","1","150","D","12","D","950","D"
"20191","03900484","11","0","1","160","D","13","D","4","D"
"20191","03900504","13","0","1","170","D","12","D","2000","D"
"20191","03900504","14","0","1","170","D","12","D","370","D"
"20191","03900504","15","0","1","150","D","13","D","330","D"
"20191","03900624","1","0","2","150","D","10","D","222","F"
"20191","03900724","3","0","1","160","D","11","D","20","D"
"20191","03900724","4","0","1","160","D","12","D","20","D"
"20191","03900744","5","0","1","170","D","12","D","30","D"
"20191","03900874","3","0","1","160","D","10","D","25","D"
"20191","03900874","4","0","2","170","D","10","D","200","D"
"20191","03900884","16","0","1","170","D","10","D","30","D"
"20191","03900884","17","0","1","170","D","12","D","30","D"
"20191","03900884","18","0","1","160","D","12","D","98","D"
"20191","03900884","19","0","1","180","D","12","D","5980","D"
"20191","03900984","3","0","1","160","D","12","D","5","D"
"20191","03901004","3","0","1","150","D","13","D","180","D"
"20191","03901014","3","0","1","150","D","13","D","120","D"
"20191","03901084","1","0","1","160","D","12","D","100","D"
"20191","03901254","22","0","1","170","D","12","D","100","D"
"20191","03901254","23","0","1","150","D","13","D","225","D"
"20191","03901254","24","0","2","160","D","10","D","100","D"
"20191","03901284","1","0","1","110","D","13","D","460","D"
"20191","03901294","5","0","1","160","D","13","D","80","D"
"20191","03901354","1","0","1","100","D","12","D","500","D"
"20191","03901354","2","0","1","170","D","12","D","200","D"
"20191","03901424","7","0","1","150","D","13","D","700","D"
"20191","03901424","8","0","1","160","D","13","D","1000","D"
"20191","03901504","11","0","1","170","D","12","D","300","D"
"20191","03901504","12","0","1","170","D","12","D","80","D"
"20191","03901504","13","0","1","150","D","13","D","40","D"
"20191","03901514","5","0","1","160","D","13","D","20","D"
"20191","03901584","14","0","1","170","D","12","D","130","D"
"20191","03901584","15","0","1","150","D","10","D","535","D"
"20191","03901584","16","0","1","150","D","11","D","3448","D"
"20191","03901584","17","0","1","150","D","12","D","970","D"
"20191","03901604","3","0","1","100","D","12","D","100","D"
"20191","03901604","4","0","1","170","D","12","D","300","D"
"20191","03901634","6","0","1","170","D","12","D","2200","D"
"20191","03901634","7","0","1","160","D","12","D","230","D"
"20191","03901674","7","0","1","170","D","12","D","50","D"
"20191","03901674","8","0","1","170","D","12","D","750","D"
"20191","03901674","9","0","1","150","D","13","D","250","D"
"20191","03901674","10","0","1","150","D","12","D","100","D"
"20191","03901814","2","0","1","110","D","11","D","1100","D"
"20191","03901814","3","0","1","110","D","12","D","1100","D"
"20191","03901814","4","0","2","110","D","10","D","1100","D"
"20191","03901824","10","0","1","170","D","11","D","20","D"
"20191","03901824","11","0","1","160","D","11","D","25","D"
"20191","03901824","12","0","1","140","D","11","D","10","D"
"20191","03901884","3","0","1","170","D","12","D","2000","D"
"20191","03901884","4","0","1","150","D","11","D","20","D"
"20191","03901884","5","0","1","150","D","12","D","20","D"
"20191","03901884","6","0","2","170","D","10","D","50","D"
"20191","03901894","1","0","1","160","D","12","D","30","D"
"20191","03901894","2","0","1","160","D","12","D","25","D"
"20191","03901894","3","0","1","150","D","13","D","40","D"
"20191","03901904","4","0","1","150","D","13","D","60","D"
"20191","03901904","5","0","1","160","D","13","D","200","D"
"20191","03901904","6","0","2","160","D","11","D","200","D"
"20191","03901924","5","0","1","150","D","13","D","25","D"
"20191","03902014","5","0","1","170","D","12","D","150","D"
"20191","03902014","6","0","1","160","D","11","D","10","D"
"20191","03902044","4","0","1","160","D","13","D","300","D"
"20191","03902044","5","0","1","160","D","13","D","400","D"
"20191","03902044","6","0","1","160","D","13","D","1000","D"
"20191","03902044","7","0","1","160","D","11","D","20","D"
"20191","03902064","5","0","1","160","D","13","D","200","D"
"20191","03902124","2","0","1","150","D","13","D","10","D"
"20191","03902144","4","0","1","150","D","13","D","10","D"
"20191","03902164","1","0","2","160","D","11","D","5","D"
"20191","03902254","4","0","1","150","D","01","D","233","F"
"20191","03902304","2","0","1","170","D","12","D","30","D"
"20191","03902304","3","0","1","170","D","12","D","100","D"
"20191","03902304","4","0","1","150","D","13","D","260","D"
"20191","03902304","5","0","1","150","D","13","D","30","D"
"20191","03902304","6","0","1","150","D","13","D","30","D"
"20191","03902334","3","0","1","150","D","13","D","25","D"
"20191","03902354","4","0","1","160","D","12","D","100","D"
