"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","APPRPRYB","APPR_RYB","SRVCMOB","SRVCMOB_","REPAIRX","REPAIRX_","APPRPB1","APPRPB1_","APPRPB2","APPRPB2_","APPRPB3","APPRPB3_","APPRPB4","APPRPB4_","APPRPB5","APPRPB5_","APPRPB6","APPRPB6_","APPRPB7","APPRPB7_","APPRPB8","APPRPB8_","APPRPB9","EQBPURCH","APPRPB9_"
"20191","03908044","32","0","1","220","D","12","D","2","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03908134","3","0","1","110","D","11","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03908154","9","0","1","190","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03908274","4","0","1","190","D","11","D","89","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03908274","5","0","1","190","D","01","D","89","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03908524","12","0","1","110","D","01","D","625","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03908534","33","0","2","140","D","11","D","636","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03908604","5","0","1","190","D","11","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03909204","4","0","1","110","D","01","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03909204","5","0","1","190","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03909694","7","0","1","200","D","01","D","225","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03909784","7","0","1","200","D","01","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910394","8","0","1","190","D","12","D","85","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910454","1","0","1","190","D","11","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910454","2","0","1","190","D","01","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910494","15","0","1","190","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910494","16","0","1","190","D","01","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910494","17","0","2","190","D","11","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910784","3","0","1","200","D","11","D","8","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910784","4","0","1","200","D","12","D","8","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910784","5","0","1","200","D","01","D","8","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03910954","15","0","2","110","D","11","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03911324","6","0","1","170","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03911334","11","0","1","200","D","11","D","28","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03911334","12","0","1","200","D","12","D","28","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03911334","13","0","1","200","D","01","D","28","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912044","5","0","1","110","D","01","D","1","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912194","14","0","1","190","D","01","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912274","6","0","1","200","D","12","D","29","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912274","7","0","1","200","D","01","D","29","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912274","8","0","2","200","D","11","D","29","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912424","15","0","2","190","D","11","D","284","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912424","16","0","2","200","D","11","D","1200","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912424","17","0","2","200","D","11","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912584","1","0","1","130","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03912614","5","0","2","190","D","11","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923014","6","0","1","110","D","02","D","112","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923014","7","0","1","190","D","12","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923044","19","0","1","190","D","02","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923404","8","0","1","110","D","12","D","87","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923404","9","0","1","110","D","01","D","87","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923404","10","0","1","110","D","02","D","87","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923504","9","0","1","190","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923504","10","0","1","190","D","01","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923504","11","0","1","190","D","02","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03923504","12","0","1","200","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924304","5","0","1","110","D","02","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924444","9","0","1","110","D","02","D","278","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924734","8","0","1","110","D","12","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924734","9","0","1","110","D","01","D","66","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924734","10","0","1","110","D","02","D","66","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924734","11","0","2","110","D","12","D","54","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924894","4","0","1","190","D","12","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03924894","5","0","1","190","D","02","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03925034","13","0","1","110","D","01","D","189","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03925704","7","0","1","110","D","01","D","110","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926294","10","0","2","200","D","12","D","189","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926334","5","0","2","190","D","12","D","2","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926394","3","0","1","130","D","12","D","74","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926454","9","0","1","130","D","12","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926454","10","0","1","190","D","12","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926464","7","0","1","110","D","12","D","423","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926824","2","0","1","100","D","01","D","326","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03926974","18","0","1","190","D","02","D","162","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03927614","5","0","1","130","D","02","D","78","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03927644","4","0","1","220","D","02","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928204","5","0","1","190","D","02","D","115","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928334","3","0","1","190","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928334","4","0","1","190","D","01","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928334","5","0","1","190","D","02","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928334","6","0","1","110","D","02","D","180","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928334","7","0","1","130","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","2","A"
"20191","03928334","8","0","1","130","D","01","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","2","A"
"20191","03928334","9","0","1","130","D","02","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","2","A"
"20191","03928414","7","0","1","190","D","01","D","114","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928424","9","0","2","110","D","12","D","7","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03928504","2","0","1","190","D","02","D","85","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03929164","5","0","1","110","D","12","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03929274","7","0","1","190","D","01","D","82","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03929534","11","0","1","110","D","02","D","81","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03929724","11","0","1","110","D","02","D","313","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930054","6","0","1","190","D","01","D","104","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930054","7","0","2","190","D","12","D","98","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930114","14","0","1","200","D","01","D","18","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930114","15","0","1","200","D","02","D","18","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930114","16","0","1","200","D","12","D","18","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930594","9","0","1","190","D","02","D","145","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930734","7","0","1","130","D","02","D","77","D","","A","","A","","A","","A","","A","","A","","A","","A","","2","A"
"20191","03930734","8","0","1","130","D","02","D","77","D","","A","","A","","A","","A","","A","","A","","A","","A","","2","A"
"20191","03930824","20","0","1","190","D","12","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930824","21","0","1","190","D","01","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930824","22","0","1","190","D","02","D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930854","20","0","1","190","D","01","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930874","4","0","1","190","D","12","D","138","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930944","16","0","1","190","D","02","D","113","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930944","17","0","1","220","D","02","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930944","18","0","2","200","D","12","D","477","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03930944","19","0","2","190","D","12","D","113","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03931014","5","0","1","190","D","01","D","43","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03931014","6","0","1","190","D","02","D","43","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03931284","8","0","1","190","D","02","D","110","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
