"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20193","04218641","2","0","1","100","D","1","D","06","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218641","3","0","1","120","D","1","D","04","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218681","1","0","1","100","D","1","D","04","D","940","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218701","1","0","1","220","D","1","D","05","D","","H","","A","","A","120","D","100","D","210","D","140","D","160","D","195","D","","A","","A","","A"
"20193","04218701","1","1","1","120","D","1","D","05","D","385","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218701","1","2","1","100","D","1","D","05","D","1452","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218701","1","3","1","210","D","1","D","05","D","502","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218701","1","4","1","140","D","1","D","05","D","2485","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218701","1","5","1","160","D","1","D","05","D","1723","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218701","1","6","1","195","D","1","D","05","D","2753","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218701","2","0","1","195","D","3","D","05","D","2400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04219251","1","0","1","120","D","1","D","04","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04219291","1","0","1","140","D","1","D","04","D","367","D","","A","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04219371","1","0","1","180","D","1","D","06","D","1200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04219391","1","0","1","140","D","1","D","04","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220001","1","0","1","100","D","1","D","04","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220001","2","0","1","120","D","1","D","04","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220321","1","0","1","220","D","1","D","06","D","","H","","A","","A","220","D","140","D","","A","","A","","A","","A","","A","","A","","A"
"20193","04220321","1","1","1","120","D","1","D","06","D","93","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220321","1","2","1","140","D","1","D","06","D","1007","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220591","1","0","1","195","D","2","D","","A","","A","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220661","1","0","1","195","D","1","D","05","D","400","D","","A","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220751","1","0","1","220","D","1","D","05","D","","H","","A","","A","140","D","100","D","120","D","","A","","A","","A","","A","","A","","A"
"20193","04220751","1","1","1","140","D","1","D","05","D","1506","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220751","1","2","1","100","D","1","D","05","D","1642","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220751","1","3","1","120","D","1","D","05","D","352","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04220831","1","0","1","195","D","1","D","04","D","465","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04221371","1","0","1","195","D","1","D","06","D","1600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04221771","1","0","1","140","D","1","D","05","D","900","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04221841","1","0","1","160","D","1","D","05","D","1039","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04222061","1","0","1","100","D","1","D","04","D","748","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04222081","1","0","1","195","D","1","D","06","D","1780","D","","A","230","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04222131","1","0","1","195","D","1","D","05","D","2000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04222194","1","0","1","100","D","1","D","06","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04222481","1","0","1","140","D","1","D","05","D","2000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
