"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20193","04038404","26","0","1","4","D","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04039224","61","0","1","1","D","125","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04039954","32","0","1","1","D","87","D","","A","","A","","A","","A","","A","","A","","A","50","D","","A"
"20193","04040544","41","0","1","2","D","355","G","91","G","","A","87","G","1","D","1","D","1","D","2","D","467","G","","A"
"20193","04041434","46","0","1","2","D","135","D","","A","","A","","A","","A","","A","","A","","A","20","D","","A"
"20193","04044684","43","0","1","2","D","256","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04045904","16","0","1","6","D","","A","","A","","A","","A","2","D","1","D","2","D","2","D","","A","","A"
"20193","04071413","32","0","1","1","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04071913","41","0","1","1","D","220","D","30","D","","A","","A","","A","","A","","A","","A","170","D","","A"
"20193","04072693","33","0","1","1","D","","A","","A","","A","50","D","","A","","A","","A","","A","","A","","A"
"20193","04075143","41","0","1","1","D","115","D","5","D","","A","","A","","A","","A","","A","","A","45","D","","A"
"20193","04079973","24","0","1","10","D","1000","D","","A","","A","","A","","A","","A","","A","","A","1000","D","","A"
"20193","04091683","47","0","1","2","D","161","G","51","G","","A","","A","1","D","1","D","2","D","2","D","128","G","","A"
"20193","04091893","26","0","1","5","D","750","D","","A","","A","","A","","A","","A","","A","","A","200","D","25","D"
"20193","04091923","41","0","1","9","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","50","D"
"20193","04092293","23","0","1","3","D","900","D","","A","","A","","A","","A","","A","","A","","A","450","D","","A"
"20193","04094053","25","0","1","4","D","500","D","","A","","A","","A","","A","","A","","A","","A","300","D","","A"
"20193","04096723","35","0","1","2","D","300","D","50","F","","A","","A","","A","","A","","A","","A","250","F","","A"
"20193","04096883","11","0","1","2","D","209","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04098973","63","0","1","1","D","339","D","50","D","","A","","A","","A","","A","","A","","A","350","D","","A"
"20193","04100833","81","0","1","3","D","800","D","50","D","","A","","A","","A","","A","","A","","A","250","D","","A"
"20193","04101233","30","0","1","1","D","99","D","","A","","A","","A","","A","","A","","A","","A","60","D","","A"
"20193","04173722","32","0","1","2","D","250","D","","A","","A","","A","","A","","A","","A","","A","120","D","60","D"
