"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20191","03898764","5","0","1","100","D","1","D","","A","11","D","","A","350","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898844","3","0","1","300","D","1","D","2","D","13","D","","A","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898884","4","0","1","300","D","1","D","3","D","13","D","","A","380","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898934","3","0","1","320","D","1","D","","A","10","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898934","4","0","1","320","D","1","D","","A","11","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898934","5","0","1","320","D","1","D","","A","12","D","","A","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898934","6","0","2","320","D","1","D","","A","10","D","","A","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898934","7","0","2","360","D","1","D","","A","10","D","","A","500","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898944","6","0","1","300","D","1","D","1","D","12","D","","A","1439","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898944","7","0","1","350","D","1","D","1","D","12","D","","A","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","10","0","1","360","D","1","D","","A","10","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","11","0","1","345","D","1","D","","A","11","D","","A","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","12","0","1","345","D","1","D","","A","12","D","","A","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","13","0","2","345","D","1","D","","A","10","D","","A","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","14","0","2","100","D","1","D","","A","10","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898984","15","0","2","360","D","1","D","","A","10","D","","A","170","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899284","11","0","1","350","D","1","D","2","D","12","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899364","6","0","1","310","D","2","D","","A","10","D","","A","410","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899364","7","0","1","310","D","2","D","","A","11","D","","A","410","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899364","8","0","1","310","D","2","D","","A","12","D","","A","410","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03899544","7","0","1","300","D","1","D","1","D","12","D","","A","15000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900334","14","0","1","100","D","1","D","","A","13","D","","A","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900424","10","0","1","300","D","1","D","5","D","12","D","","A","130","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900444","10","0","1","100","D","1","D","","A","13","D","","A","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900444","11","0","1","360","D","1","D","","A","10","D","","A","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900564","9","0","1","350","D","1","D","1","D","13","D","","A","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03900804","2","0","1","350","D","2","D","2","D","11","D","","A","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","26","0","1","100","D","1","D","","A","12","D","","A","332","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","27","0","1","100","D","1","D","","A","13","D","","A","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","28","0","1","100","D","1","D","","A","13","D","","A","135","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","29","0","1","345","D","1","D","","A","10","D","","A","216","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","30","0","1","345","D","1","D","","A","11","D","","A","169","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","31","0","1","300","D","1","D","1","D","12","D","","A","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","32","0","2","100","D","1","D","","A","10","D","","A","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","33","0","2","345","D","1","D","","A","10","D","","A","170","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901254","34","0","2","350","D","1","D","2","D","10","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901424","9","0","1","100","D","1","D","","A","13","D","","A","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901424","10","0","1","200","D","1","D","","A","13","D","","A","1200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901584","19","0","1","100","D","1","D","","A","11","D","","A","198","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901584","20","0","1","100","D","1","D","","A","11","D","","A","135","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901634","8","0","1","200","D","1","D","","A","13","D","","A","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901634","9","0","1","350","D","1","D","2","D","12","D","","A","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901664","2","0","1","100","D","1","D","","A","13","D","","A","240","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03901794","5","0","1","100","D","1","D","","A","13","D","","A","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
