"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_","MEDRPRNT","MEDR_RNT","MEDRNOUT","MEDR_OUT"
"20191","04039112","32","0","1","430","D","1","D","12","D","","H","420","D","410","D","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","32","1","1","420","D","1","D","12","D","235","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","32","2","1","410","D","1","D","12","D","586","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","33","0","1","430","D","1","D","01","D","","H","420","D","410","D","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","33","1","1","420","D","1","D","01","D","18","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","33","2","1","410","D","1","D","01","D","45","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","34","0","1","430","D","1","D","02","D","","H","420","D","410","D","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","34","1","1","420","D","1","D","02","D","214","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039112","34","2","1","410","D","1","D","02","D","534","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04039222","29","0","2","120","D","1","D","12","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04039312","16","0","1","200","D","1","D","01","D","177","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04040512","16","0","1","900","D","1","D","01","D","","H","900","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04040512","16","1","1","200","D","1","D","01","D","143","G","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04040512","16","2","1","620","D","1","D","01","D","57","G","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04042832","13","0","1","655","D","1","D","02","D","31","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D","","A"
"20191","04043182","20","0","1","620","D","1","D","02","D","21","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04043362","20","0","1","110","D","1","D","02","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04043472","14","0","1","655","D","1","D","01","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","2","D","","A"
"20191","04043472","15","0","1","655","D","1","D","02","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","2","D","","A"
"20191","04043472","16","0","2","655","D","1","D","12","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D","","A"
"20191","04045352","26","0","1","200","D","1","D","02","D","128","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04045352","27","0","1","420","D","1","D","02","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04045372","20","0","1","620","D","1","D","01","D","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04045372","21","0","1","620","D","1","D","02","D","17","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04048562","9","0","1","620","D","1","D","12","D","299","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04069811","12","0","1","620","D","1","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04070661","22","0","1","620","D","1","D","10","D","415","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04070661","23","0","1","620","D","1","D","12","D","215","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04071991","33","0","1","620","D","1","D","10","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04072021","8","0","1","200","D","1","D","12","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04076041","33","0","1","620","D","1","D","11","D","240","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04076451","13","0","1","420","D","1","D","12","D","593","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04076501","13","0","1","420","D","1","D","10","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04077084","30","0","1","620","D","1","D","10","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04077084","31","0","1","620","D","1","D","11","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04077084","32","0","1","620","D","1","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04077881","19","0","1","530","D","1","D","10","D","240","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
