"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20191","03985533","25","0","1","110","D","2","D","02","D","","A","","A","","A","2","D","","A","02","D"
"20191","03986913","22","0","1","100","D","1","D","12","D","3300","F","","A","","A","2","D","","A","01","D"
"20191","03987873","17","0","1","100","D","1","D","02","D","7500","D","","A","","A","2","D","","A","01","D"
"20191","03988053","57","0","1","100","D","4","D","12","D","","A","7000","D","","A","2","D","","A","02","D"
"20191","03988183","31","0","1","100","D","1","D","12","D","1750","D","","A","","A","2","D","","A","04","D"
"20191","03988513","18","0","1","100","D","2","D","01","D","","A","","A","","A","2","D","","A","01","D"
"20191","03988983","49","0","1","100","D","1","D","02","D","1000","D","","A","","A","2","D","","A","04","D"
"20191","03989313","16","0","1","110","D","4","D","02","D","","A","","A","","A","2","D","","A","02","D"
"20191","03989883","31","0","1","100","D","2","D","01","D","","A","","A","","A","1","D","8400","D","02","D"
"20191","03990443","36","0","1","100","D","4","D","12","D","","A","4000","D","","A","2","D","","A","02","D"
"20191","03990633","36","0","1","100","D","1","D","02","D","19000","D","","A","","A","1","D","13000","D","01","D"
"20191","03990993","27","0","1","200","D","1","D","12","D","200","D","","A","","A","2","D","","A","02","D"
"20191","03990993","28","0","1","110","D","2","D","12","D","","A","","A","","A","1","D","23000","D","03","D"
"20191","03991103","51","0","1","100","D","2","D","02","D","","A","","A","","A","2","D","","A","02","D"
"20191","03991173","27","0","1","110","D","2","D","12","D","","A","","A","","A","2","D","","A","02","D"
"20191","03991413","32","0","1","100","D","6","D","01","D","","A","","A","","A","2","D","","A","04","D"
"20191","03991943","17","0","1","100","D","2","D","12","D","","A","","A","","A","1","D","","A","02","D"
"20191","03991953","19","0","1","110","D","6","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03993193","49","0","1","110","D","2","D","02","D","","A","","A","","A","1","D","29056","D","02","D"
"20191","03993583","39","0","2","100","D","1","D","12","D","2000","D","","A","","A","2","D","","A","03","D"
"20191","03993853","41","0","1","100","D","1","D","12","D","6500","D","","A","","A","2","D","","A","02","D"
"20191","03993883","42","0","1","110","D","2","D","12","D","","A","","A","","A","2","D","","A","02","D"
"20191","03994233","50","0","1","110","D","1","D","12","D","10000","D","","A","","A","2","D","","A","02","D"
"20191","03994633","12","0","1","110","D","2","D","02","D","","A","","A","","A","2","D","","A","01","D"
"20191","03994743","51","0","1","110","D","3","D","02","D","","A","","A","","A","2","D","","A","03","D"
"20191","03995063","22","0","1","100","D","3","D","02","D","","A","","A","","A","2","D","","A","02","D"
"20191","04006692","27","0","1","100","D","2","D","10","D","","A","","A","","A","2","D","","A","02","D"
"20191","04006722","10","0","1","110","D","1","D","11","D","1000","D","","A","","A","2","D","","A","02","D"
"20191","04006762","28","0","1","100","D","2","D","12","D","","A","","A","","A","2","D","","A","02","D"
"20191","04006874","26","0","1","110","D","4","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","04006932","14","0","1","100","D","4","D","12","D","","A","20000","F","","A","1","D","14500","F","01","D"
"20191","04007062","43","0","1","100","D","1","D","11","D","10000","D","","A","","A","2","D","","A","02","D"
"20191","04007272","36","0","1","200","D","1","D","11","D","2500","D","","A","","A","2","D","","A","05","D"
"20191","04007892","27","0","1","110","D","1","D","12","D","300","D","","A","","A","2","D","","A","02","D"
"20191","04008252","39","0","1","110","D","1","D","10","D","350","D","","A","","A","2","D","","A","03","D"
"20191","04008852","28","0","1","110","D","2","D","10","D","","A","","A","","A","1","D","","A","02","D"
"20191","04008922","66","0","1","110","D","1","D","12","D","4000","D","","A","","A","1","D","","A","02","D"
"20191","04009102","20","0","1","100","D","6","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","04010162","24","0","1","110","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","04010432","37","0","1","100","D","1","D","10","D","25000","D","","A","","A","2","D","","A","02","D"
"20191","04011162","52","0","1","100","D","2","D","12","D","","A","","A","","A","2","D","","A","09","D"
"20191","04011172","38","0","1","110","D","4","D","10","D","","A","","A","","A","2","D","","A","02","D"
"20191","04011602","38","0","1","110","D","1","D","11","D","16250","D","","A","","A","2","D","","A","02","D"
"20191","04011952","40","0","1","110","D","3","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","04011962","47","0","1","100","D","4","D","10","D","","A","10300","D","","A","2","D","","A","07","D"
"20191","04012282","18","0","1","100","D","1","D","12","D","9500","D","","A","","A","2","D","","A","01","D"
"20191","04012732","15","0","1","100","D","3","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","04013742","53","0","1","200","D","6","D","12","D","","A","","A","","A","2","D","","A","04","D"
"20191","04013822","66","0","1","100","D","1","D","10","D","100","D","","A","","A","2","D","","A","02","D"
"20191","04013862","31","0","1","110","D","2","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","04015582","23","0","1","100","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","04016412","34","0","1","100","D","2","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","04016432","27","0","1","100","D","1","D","11","D","2900","D","","A","","A","2","D","","A","01","D"
"20191","04016812","30","0","1","100","D","4","D","10","D","","A","2500","D","","A","2","D","","A","01","D"
"20191","04016992","20","0","1","100","D","3","D","10","D","","A","","A","","A","2","D","","A","02","D"
"20191","04017262","45","0","1","100","D","1","D","10","D","3300","D","","A","","A","2","D","","A","01","D"
"20191","04027602","18","0","1","110","D","4","D","12","D","","A","2500","D","","A","1","D","2500","D","01","D"
"20191","04027712","22","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","02","D"
"20191","04028882","48","0","1","110","D","6","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","04028942","18","0","1","100","D","6","D","01","D","","A","","A","","A","2","D","","A","02","D"
"20191","04029002","16","0","1","110","D","4","D","12","D","","A","3500","D","","A","1","D","2400","D","01","D"
"20191","04029282","36","0","1","100","D","2","D","11","D","","A","","A","","A","1","D","7500","D","02","D"
"20191","04029532","22","0","1","100","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","04029712","28","0","1","100","D","6","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","04029952","37","0","1","110","D","3","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","04030612","47","0","1","100","D","1","D","11","D","6000","D","","A","","A","2","D","","A","03","D"
"20191","04030652","18","0","1","110","D","1","D","12","D","12900","D","","A","","A","2","D","","A","02","D"
"20191","04030692","42","0","1","130","D","2","D","11","D","","A","","A","","A","2","D","","A","08","D"
"20191","04030942","23","0","1","110","D","4","D","01","D","","A","","A","","A","2","D","","A","02","D"
"20191","04032532","12","0","1","110","D","2","D","01","D","","A","","A","","A","1","D","","A","01","D"
"20191","04033182","38","0","1","100","D","1","D","11","D","3000","D","","A","","A","1","D","3000","D","01","D"
"20191","04033182","39","0","1","110","D","2","D","01","D","","A","","A","","A","2","D","","A","04","D"
"20191","04033472","25","0","1","110","D","2","D","01","D","","A","","A","","A","1","D","3000","D","01","D"
"20191","04033502","40","0","1","150","D","4","D","12","D","","A","11000","D","","A","1","D","8500","D","05","D"
"20191","04033772","9","0","1","100","D","6","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","04034222","45","0","1","180","D","1","D","01","D","4000","D","","A","","A","2","D","","A","05","D"
