nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,bezighei,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
47600,1,1963,2,4,5,5,1,5,0,NA,NA,NA,5,0,0,0,2
47600,2,1956,1,4,5,5,1,5,0,NA,NA,NA,5,0,0,0,2
47600,3,1991,1,7,5,5,1,5,0,NA,NA,NA,5,0,0,0,2
47600,4,1992,2,7,5,5,1,5,0,NA,NA,NA,5,0,0,0,2
47600,5,1992,2,1,9,9,1,5,0,NA,NA,NA,5,1,1,0,2
47702,2,1975,2,5,3,3,9,3,1,3,2,28,4,1,1,0,2
47702,3,2000,1,7,3,2,6,3,1,3,2,28,4,0,0,0,2
47702,4,2003,1,1,2,2,6,3,1,3,2,28,4,0,0,0,2
47736,1,1967,2,1,6,6,1,2,0,NA,NA,NA,2,1,1,1,1
47736,2,1966,1,2,6,6,1,2,0,NA,NA,NA,2,0,0,1,1
47806,1,1971,2,2,4,4,7,4,2,NA,NA,NA,3,0,0,1,1
47806,2,1967,1,1,3,3,1,4,2,NA,NA,NA,3,1,1,1,1
47806,3,1997,2,5,6,NA,6,4,2,NA,NA,NA,3,0,0,1,1
47806,4,2003,1,5,3,2,6,4,2,NA,NA,NA,3,0,0,1,1
47846,1,1968,1,1,6,6,1,4,2,NA,NA,NA,3,1,1,1,1
47846,2,1973,2,2,3,3,7,4,2,NA,NA,NA,3,0,0,1,1
47846,3,1999,2,5,3,3,6,4,2,NA,NA,NA,3,0,0,1,1
47846,4,2002,1,5,9,2,6,4,2,NA,NA,NA,3,0,0,1,1
47858,1,1963,1,1,7,4,1,1,0,NA,NA,NA,1,1,1,0,2
47931,1,1971,1,3,7,7,1,4,1,4,5,30,5,1,0,1,1
47931,2,1970,2,1,7,7,1,4,1,4,5,30,5,0,1,1,1
47931,3,2008,2,6,4,2,6,4,1,4,5,30,5,0,0,1,1
47931,4,2011,2,5,2,8,6,4,1,4,5,30,5,0,0,1,1
